"","ID","observation","code"
"188",47,"XLMEFNC2",77
"189",48,"MCTLFNC2",77
"190",48,"OXTOFNC2",77
"191",48,"PMICFNC2",77
"192",48,"XLMEFNC2",77
"193",49,"MCTLFNC2",77
"194",49,"OXTOFNC2",77
"195",49,"PMICFNC2",77
"196",49,"XLMEFNC2",77
"197",50,"MCTLFNC2",77
"198",50,"OXTOFNC2",77
"199",50,"PMICFNC2",77
"200",50,"XLMEFNC2",77
"201",51,"MCTLFNC2",77
"202",51,"OXTOFNC2",77
"203",51,"PMICFNC2",77
"204",51,"XLMEFNC2",77
"205",52,"MCTLFNC2",77
"206",52,"OXTOFNC2",77
"207",52,"PMICFNC2",77
"208",52,"XLMEFNC2",77
"209",53,"MCTLFNC2",77
"210",53,"OXTOFNC2",77
"211",53,"PMICFNC2",77
"212",53,"XLMEFNC2",77
"213",54,"MCTLFNC2",77
"214",54,"OXTOFNC2",77
"215",54,"PMICFNC2",77
"216",54,"XLMEFNC2",77
"217",55,"MCTLFNC2",77
"218",55,"OXTOFNC2",77
"219",55,"PMICFNC2",77
"220",55,"XLMEFNC2",77
"221",56,"MCTLFNC2",77
"222",56,"OXTOFNC2",77
"223",56,"PMICFNC2",77
"224",56,"XLMEFNC2",77
"225",57,"MCTLFNC2",77
"226",57,"OXTOFNC2",77
"227",57,"PMICFNC2",77
"228",57,"XLMEFNC2",77
"229",58,"MCTLFNC2",77
"230",58,"OXTOFNC2",77
"231",58,"PMICFNC2",77
"232",58,"XLMEFNC2",77
"233",59,"MCTLFNC2",77
"234",59,"OXTOFNC2",77
"235",59,"PMICFNC2",77
"236",59,"XLMEFNC2",77
"237",60,"MCTLFNC2",77
"238",60,"OXTOFNC2",77
"239",60,"PMICFNC2",77
"240",60,"XLMEFNC2",77
"241",61,"MCTLFNC2",77
"242",61,"OXTOFNC2",77
"243",61,"PMICFNC2",77
"244",61,"XLMEFNC2",77
"245",62,"MCTLFNC2",77
"246",62,"OXTOFNC2",77
"247",62,"PMICFNC2",77
"248",62,"XLMEFNC2",77
"249",63,"MCTLFNC2",77
"250",63,"OXTOFNC2",77
"251",63,"PMICFNC2",77
"252",63,"XLMEFNC2",77
"253",64,"MCTLFNC2",77
"254",64,"OXTOFNC2",77
"255",64,"PMICFNC2",77
"256",64,"XLMEFNC2",77
"257",65,"MCTLFNC2",77
"258",65,"OXTOFNC2",77
"259",65,"PMICFNC2",77
"260",65,"XLMEFNC2",77
"261",66,"MCTLFNC2",77
"262",66,"OXTOFNC2",77
"263",66,"PMICFNC2",77
"264",66,"XLMEFNC2",77
"265",67,"MCTLFNC2",77
"266",67,"OXTOFNC2",77
"267",67,"PMICFNC2",77
"268",67,"XLMEFNC2",77
"269",68,"MCTLFNC2",77
"270",68,"OXTOFNC2",77
"271",68,"PMICFNC2",77
"272",68,"XLMEFNC2",77
"273",69,"MCTLFNC2",77
"274",69,"OXTOFNC2",77
"275",69,"PMICFNC2",77
"276",69,"XLMEFNC2",77
"277",70,"MCTLFNC2",77
"278",70,"OXTOFNC2",77
"279",70,"PMICFNC2",77
"280",70,"XLMEFNC2",77
"281",71,"MCTLFNC2",77
"282",71,"OXTOFNC2",77
"283",71,"PMICFNC2",77
"284",71,"XLMEFNC2",77
"285",72,"MCTLFNC2",77
"286",72,"OXTOFNC2",77
"287",72,"PMICFNC2",77
"288",72,"XLMEFNC2",77
"289",73,"MCTLFNC2",-1
"290",73,"OXTOFNC2",77
"291",73,"PMICFNC2",77
"292",73,"XLMEFNC2",77
"293",74,"MCTLFNC2",77
"294",74,"OXTOFNC2",77
"295",74,"PMICFNC2",77
"296",74,"XLMEFNC2",77
"297",75,"MCTLFNC2",77
"298",75,"OXTOFNC2",77
"299",75,"PMICFNC2",77
"300",75,"XLMEFNC2",77
"301",76,"MCTLFNC2",77
"302",76,"OXTOFNC2",77
"303",76,"PMICFNC2",77
"304",76,"XLMEFNC2",77
"305",77,"MCTLFNC2",-1
"306",77,"OXTOFNC2",77
"307",77,"PMICFNC2",77
"308",77,"XLMEFNC2",-1
"309",78,"MCTLFNC2",-1
"310",78,"OXTOFNC2",77
"311",78,"PMICFNC2",77
"312",78,"XLMEFNC2",77
"313",79,"MCTLFNC2",77
"314",79,"OXTOFNC2",77
"315",79,"PMICFNC2",77
"316",79,"XLMEFNC2",77
"317",80,"MCTLFNC2",77
"318",80,"OXTOFNC2",77
"319",80,"PMICFNC2",77
"320",80,"XLMEFNC2",77
"321",81,"MCTLFNC2",-1
"322",81,"OXTOFNC2",77
"323",81,"PMICFNC2",77
"324",81,"XLMEFNC2",77
"325",82,"MCTLFNC2",77
"326",82,"OXTOFNC2",77
"327",82,"PMICFNC2",77
"328",82,"XLMEFNC2",77
"329",83,"MCTLFNC2",-1
"330",83,"OXTOFNC2",77
"331",83,"PMICFNC2",77
"332",83,"XLMEFNC2",-1
"333",84,"MCTLFNC2",-1
"334",84,"OXTOFNC2",77
"335",84,"PMICFNC2",77
"336",84,"XLMEFNC2",-1
"337",85,"MCTLFNC2",77
"338",85,"OXTOFNC2",77
"339",85,"PMICFNC2",77
"340",85,"XLMEFNC2",77
"341",86,"MCTLFNC2",77
"342",86,"OXTOFNC2",77
"343",86,"PMICFNC2",77
"344",86,"XLMEFNC2",77
"345",87,"MCTLFNC2",77
"346",87,"OXTOFNC2",77
"347",87,"PMICFNC2",77
"348",87,"XLMEFNC2",77
"349",88,"MCTLFNC2",-1
"350",88,"OXTOFNC2",-1
"351",88,"PMICFNC2",-1
"352",88,"XLMEFNC2",-1
"353",89,"MCTLFNC2",-1
"354",89,"OXTOFNC2",-1
"355",89,"PMICFNC2",-1
"356",89,"XLMEFNC2",-1
"357",90,"MCTLFNC2",77
"358",90,"OXTOFNC2",77
"359",90,"PMICFNC2",77
"360",90,"XLMEFNC2",77
"361",91,"MCTLFNC2",77
"362",91,"OXTOFNC2",77
"363",91,"PMICFNC2",77
"364",91,"XLMEFNC2",77
"365",92,"MCTLFNC2",77
"366",92,"OXTOFNC2",77
"367",92,"PMICFNC2",77
"368",92,"XLMEFNC2",77
"369",93,"MCTLFNC2",77
"370",93,"OXTOFNC2",77
"371",93,"PMICFNC2",77
"372",93,"XLMEFNC2",77
"373",94,"MCTLFNC2",77
"374",94,"OXTOFNC2",77
"375",94,"PMICFNC2",77
"376",94,"XLMEFNC2",77
"377",95,"MCTLFNC2",77
"378",95,"OXTOFNC2",77
"379",95,"PMICFNC2",77
"380",95,"XLMEFNC2",77
"381",96,"MCTLFNC2",77
"382",96,"OXTOFNC2",77
"383",96,"PMICFNC2",77
"384",96,"XLMEFNC2",77
"385",97,"MCTLFNC2",77
"386",97,"OXTOFNC2",77
"387",97,"PMICFNC2",77
"388",97,"XLMEFNC2",77
"389",98,"MCTLFNC2",77
"390",98,"OXTOFNC2",77
"391",98,"PMICFNC2",77
"392",98,"XLMEFNC2",77
"393",99,"MCTLFNC2",77
"394",99,"OXTOFNC2",77
"395",99,"PMICFNC2",77
"396",99,"XLMEFNC2",77
"397",100,"MCTLFNC2",77
"398",100,"OXTOFNC2",77
"399",100,"PMICFNC2",77
"400",100,"XLMEFNC2",77
"401",101,"MCTLFNC2",77
"402",101,"OXTOFNC2",77
"403",101,"PMICFNC2",77
"404",101,"XLMEFNC2",77
"405",102,"MCTLFNC2",77
"406",102,"OXTOFNC2",77
"407",102,"PMICFNC2",77
"408",102,"XLMEFNC2",77
