"","ID","observation","code"
"200",50,"XLMEARC2",77
"201",51,"MCTLARC2",77
"202",51,"OXTOARC2",77
"203",51,"PMICARC2",77
"204",51,"XLMEARC2",77
"205",52,"MCTLARC2",77
"206",52,"OXTOARC2",77
"207",52,"PMICARC2",77
"208",52,"XLMEARC2",77
"209",53,"MCTLARC2",77
"210",53,"OXTOARC2",77
"211",53,"PMICARC2",77
"212",53,"XLMEARC2",77
"213",54,"MCTLARC2",77
"214",54,"OXTOARC2",77
"215",54,"PMICARC2",77
"216",54,"XLMEARC2",77
"217",55,"MCTLARC2",77
"218",55,"OXTOARC2",77
"219",55,"PMICARC2",77
"220",55,"XLMEARC2",77
"221",56,"MCTLARC2",77
"222",56,"OXTOARC2",77
"223",56,"PMICARC2",77
"224",56,"XLMEARC2",77
"225",57,"MCTLARC2",77
"226",57,"OXTOARC2",77
"227",57,"PMICARC2",77
"228",57,"XLMEARC2",77
"229",58,"MCTLARC2",77
"230",58,"OXTOARC2",77
"231",58,"PMICARC2",77
"232",58,"XLMEARC2",77
"233",59,"MCTLARC2",77
"234",59,"OXTOARC2",77
"235",59,"PMICARC2",77
"236",59,"XLMEARC2",77
"237",60,"MCTLARC2",77
"238",60,"OXTOARC2",77
"239",60,"PMICARC2",77
"240",60,"XLMEARC2",77
"241",61,"MCTLARC2",77
"242",61,"OXTOARC2",77
"243",61,"PMICARC2",77
"244",61,"XLMEARC2",77
"245",62,"MCTLARC2",77
"246",62,"OXTOARC2",77
"247",62,"PMICARC2",77
"248",62,"XLMEARC2",77
"249",63,"MCTLARC2",77
"250",63,"OXTOARC2",77
"251",63,"PMICARC2",77
"252",63,"XLMEARC2",77
"253",64,"MCTLARC2",77
"254",64,"OXTOARC2",77
"255",64,"PMICARC2",77
"256",64,"XLMEARC2",77
"257",65,"MCTLARC2",77
"258",65,"OXTOARC2",77
"259",65,"PMICARC2",77
"260",65,"XLMEARC2",77
"261",66,"MCTLARC2",77
"262",66,"OXTOARC2",77
"263",66,"PMICARC2",77
"264",66,"XLMEARC2",77
"265",67,"MCTLARC2",77
"266",67,"OXTOARC2",77
"267",67,"PMICARC2",77
"268",67,"XLMEARC2",77
"269",68,"MCTLARC2",77
"270",68,"OXTOARC2",77
"271",68,"PMICARC2",77
"272",68,"XLMEARC2",77
"273",69,"MCTLARC2",77
"274",69,"OXTOARC2",77
"275",69,"PMICARC2",77
"276",69,"XLMEARC2",77
"277",70,"MCTLARC2",77
"278",70,"OXTOARC2",77
"279",70,"PMICARC2",77
"280",70,"XLMEARC2",77
"281",71,"MCTLARC2",77
"282",71,"OXTOARC2",77
"283",71,"PMICARC2",77
"284",71,"XLMEARC2",77
"285",72,"MCTLARC2",77
"286",72,"OXTOARC2",77
"287",72,"PMICARC2",77
"288",72,"XLMEARC2",77
"289",73,"MCTLARC2",-1
"290",73,"OXTOARC2",77
"291",73,"PMICARC2",77
"292",73,"XLMEARC2",77
"293",74,"MCTLARC2",77
"294",74,"OXTOARC2",77
"295",74,"PMICARC2",77
"296",74,"XLMEARC2",77
"297",75,"MCTLARC2",77
"298",75,"OXTOARC2",77
"299",75,"PMICARC2",77
"300",75,"XLMEARC2",77
"301",76,"MCTLARC2",77
"302",76,"OXTOARC2",77
"303",76,"PMICARC2",77
"304",76,"XLMEARC2",77
"305",77,"MCTLARC2",-1
"306",77,"OXTOARC2",77
"307",77,"PMICARC2",77
"308",77,"XLMEARC2",-1
"309",78,"MCTLARC2",-1
"310",78,"OXTOARC2",77
"311",78,"PMICARC2",77
"312",78,"XLMEARC2",77
"313",79,"MCTLARC2",77
"314",79,"OXTOARC2",77
"315",79,"PMICARC2",77
"316",79,"XLMEARC2",77
"317",80,"MCTLARC2",77
"318",80,"OXTOARC2",77
"319",80,"PMICARC2",77
"320",80,"XLMEARC2",77
"321",81,"MCTLARC2",-1
"322",81,"OXTOARC2",77
"323",81,"PMICARC2",77
"324",81,"XLMEARC2",77
"325",82,"MCTLARC2",77
"326",82,"OXTOARC2",77
"327",82,"PMICARC2",77
"328",82,"XLMEARC2",77
"329",83,"MCTLARC2",-1
"330",83,"OXTOARC2",77
"331",83,"PMICARC2",77
"332",83,"XLMEARC2",-1
"333",84,"MCTLARC2",-1
"334",84,"OXTOARC2",77
"335",84,"PMICARC2",77
"336",84,"XLMEARC2",-1
"337",85,"MCTLARC2",77
"338",85,"OXTOARC2",77
"339",85,"PMICARC2",77
"340",85,"XLMEARC2",77
"341",86,"MCTLARC2",77
"342",86,"OXTOARC2",77
"343",86,"PMICARC2",77
"344",86,"XLMEARC2",77
"345",87,"MCTLARC2",77
"346",87,"OXTOARC2",77
"347",87,"PMICARC2",77
"348",87,"XLMEARC2",77
"349",88,"MCTLARC2",-1
"350",88,"OXTOARC2",-1
"351",88,"PMICARC2",-1
"352",88,"XLMEARC2",-1
"353",89,"MCTLARC2",-1
"354",89,"OXTOARC2",-1
"355",89,"PMICARC2",-1
"356",89,"XLMEARC2",-1
"357",90,"MCTLARC2",77
"358",90,"OXTOARC2",77
"359",90,"PMICARC2",77
"360",90,"XLMEARC2",77
"361",91,"MCTLARC2",77
"362",91,"OXTOARC2",77
"363",91,"PMICARC2",77
"364",91,"XLMEARC2",77
"365",92,"MCTLARC2",77
"366",92,"OXTOARC2",77
"367",92,"PMICARC2",77
"368",92,"XLMEARC2",77
"369",93,"MCTLARC2",77
"370",93,"OXTOARC2",77
"371",93,"PMICARC2",77
"372",93,"XLMEARC2",77
"373",94,"MCTLARC2",2
"374",94,"OXTOARC2",77
"375",94,"PMICARC2",77
"376",94,"XLMEARC2",77
"377",95,"MCTLARC2",77
"378",95,"OXTOARC2",77
"379",95,"PMICARC2",77
"380",95,"XLMEARC2",77
"381",96,"MCTLARC2",77
"382",96,"OXTOARC2",77
"383",96,"PMICARC2",77
"384",96,"XLMEARC2",77
"385",97,"MCTLARC2",77
"386",97,"OXTOARC2",77
"387",97,"PMICARC2",77
"388",97,"XLMEARC2",77
"389",98,"MCTLARC2",77
"390",98,"OXTOARC2",77
"391",98,"PMICARC2",77
"392",98,"XLMEARC2",77
"393",99,"MCTLARC2",77
"394",99,"OXTOARC2",77
"395",99,"PMICARC2",77
"396",99,"XLMEARC2",77
"397",100,"MCTLARC2",77
"398",100,"OXTOARC2",77
"399",100,"PMICARC2",77
"400",100,"XLMEARC2",77
"401",101,"MCTLARC2",77
"402",101,"OXTOARC2",77
"403",101,"PMICARC2",77
"404",101,"XLMEARC2",77
"405",102,"MCTLARC2",77
"406",102,"OXTOARC2",77
"407",102,"PMICARC2",77
"408",102,"XLMEARC2",77
"409",103,"MCTLARC2",-1
"410",103,"OXTOARC2",-1
"411",103,"PMICARC2",-1
"412",103,"XLMEARC2",-1
"413",104,"MCTLARC2",-1
"414",104,"OXTOARC2",-1
"415",104,"PMICARC2",-1
"416",104,"XLMEARC2",-1
"417",105,"MCTLARC2",-1
"418",105,"OXTOARC2",-1
"419",105,"PMICARC2",-1
"420",105,"XLMEARC2",-1
"421",106,"MCTLARC2",-1
"422",106,"OXTOARC2",-1
"423",106,"PMICARC2",-1
"424",106,"XLMEARC2",-1
"425",107,"MCTLARC2",-1
"426",107,"OXTOARC2",-1
"427",107,"PMICARC2",-1
"428",107,"XLMEARC2",-1
"429",108,"MCTLARC2",77
"430",108,"OXTOARC2",77
"431",108,"PMICARC2",77
"432",108,"XLMEARC2",77
"433",109,"MCTLARC2",77
"434",109,"OXTOARC2",77
"435",109,"PMICARC2",77
"436",109,"XLMEARC2",77
"437",110,"MCTLARC2",77
"438",110,"OXTOARC2",-1
"439",110,"PMICARC2",3
"440",110,"XLMEARC2",77
"441",111,"MCTLARC2",77
"442",111,"OXTOARC2",77
"443",111,"PMICARC2",77
"444",111,"XLMEARC2",77
"445",112,"MCTLARC2",77
"446",112,"OXTOARC2",77
"447",112,"PMICARC2",-1
"448",112,"XLMEARC2",77
"449",113,"MCTLARC2",77
"450",113,"OXTOARC2",77
"451",113,"PMICARC2",77
"452",113,"XLMEARC2",77
"453",114,"MCTLARC2",77
"454",114,"OXTOARC2",77
"455",114,"PMICARC2",77
"456",114,"XLMEARC2",77
"457",115,"MCTLARC2",77
"458",115,"OXTOARC2",77
"459",115,"PMICARC2",77
"460",115,"XLMEARC2",77
"461",116,"MCTLARC2",77
"462",116,"OXTOARC2",77
"463",116,"PMICARC2",77
"464",116,"XLMEARC2",77
"465",117,"MCTLARC2",77
"466",117,"OXTOARC2",77
"467",117,"PMICARC2",77
"468",117,"XLMEARC2",77
"469",118,"MCTLARC2",77
"470",118,"OXTOARC2",77
"471",118,"PMICARC2",77
"472",118,"XLMEARC2",77
"473",119,"MCTLARC2",77
"474",119,"OXTOARC2",77
"475",119,"PMICARC2",77
"476",119,"XLMEARC2",77
"477",120,"MCTLARC2",77
"478",120,"OXTOARC2",77
"479",120,"PMICARC2",77
"480",120,"XLMEARC2",77
"481",121,"MCTLARC2",77
"482",121,"OXTOARC2",77
"483",121,"PMICARC2",77
"484",121,"XLMEARC2",77
"485",122,"MCTLARC2",77
"486",122,"OXTOARC2",77
"487",122,"PMICARC2",77
"488",122,"XLMEARC2",77
"489",123,"MCTLARC2",-1
"490",123,"OXTOARC2",77
"491",123,"PMICARC2",77
"492",123,"XLMEARC2",77
"493",124,"MCTLARC2",77
"494",124,"OXTOARC2",77
"495",124,"PMICARC2",77
"496",124,"XLMEARC2",77
"497",125,"MCTLARC2",-1
"498",125,"OXTOARC2",77
"499",125,"PMICARC2",77
"500",125,"XLMEARC2",77
"501",126,"MCTLARC2",77
"502",126,"OXTOARC2",77
"503",126,"PMICARC2",77
