"archInterp1","archInterp2","funcInterp1","funcInterp2","count"
"room group","primary interpretation is the best assessment of a very ambiguous situation","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation",23
"room group","primary interpretation is the best assessment of a very ambiguous situation","low status residential, no obvious occupational specialization","primary interpretation is the best assessment of a very ambiguous situation",2
"room group","primary interpretation is the best assessment of a very ambiguous situation","obsidian workshop","no plausible alternative to the pirmary interpretation",1
"room group","primary interpretation is the best assessment of a very ambiguous situation","obsidian workshop","residence of uncertain status",1
"room group","primary interpretation is the best assessment of a very ambiguous situation","other","primary interpretation is the best assessment of a very ambiguous situation",1
"room group","primary interpretation is the best assessment of a very ambiguous situation","platform of probable religious significance","primary interpretation is the best assessment of a very ambiguous situation",3
"room group","primary interpretation is the best assessment of a very ambiguous situation","residence of uncertain status","no plausible alternative to the pirmary interpretation",41
"room group","primary interpretation is the best assessment of a very ambiguous situation","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation",335
"room group","primary interpretation is the best assessment of a very ambiguous situation","residence of uncertain status","residential workshop",1
"room group","primary interpretation is the best assessment of a very ambiguous situation","residential workshop","obsidian workshop",1
"room group","primary interpretation is the best assessment of a very ambiguous situation","residential workshop","primary interpretation is the best assessment of a very ambiguous situation",1
"room group","primary interpretation is the best assessment of a very ambiguous situation","residential workshop","residence of uncertain status",1
"room group","primary interpretation is the best assessment of a very ambiguous situation","temple platform","primary interpretation is the best assessment of a very ambiguous situation",3
"room group","primary interpretation is the best assessment of a very ambiguous situation","unoccupied, not clear if cultivated or not","primary interpretation is the best assessment of a very ambiguous situation",1
"room group","primary interpretation is the best assessment of a very ambiguous situation",NA,"no plausible alternative to the pirmary interpretation",2
"room group","primary interpretation is the best assessment of a very ambiguous situation",NA,"primary interpretation is the best assessment of a very ambiguous situation",22
"room group","probably not occupied or utilized in this period","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation",1
"room group","probably not occupied or utilized in this period","intermediate status residence","unoccupied, not clear if cultivated or not",1
"room group","probably not occupied or utilized in this period","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation",2
"room group","probably not occupied or utilized in this period","residence of uncertain status","unoccupied, not clear if cultivated or not",23
"room group","room group","residence of uncertain status","no plausible alternative to the pirmary interpretation",1
"room group","room group","residence of uncertain status","obsidian workshop",1
"room group","simple platform","intermediate status residence","temple platform",1
"room group","simple platform","residence of uncertain status","other",1
"room group","simple platform","residence of uncertain status","platform of probable religious significance",2
"room group","simple platform","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation",1
"room group","simple platform","residence of uncertain status","probably temple, hard to fit into any of the above categories",1
"room group","simple platform","residential workshop","no plausible alternative to the pirmary interpretation",1
"room group","temple base (incl. platforms & multi-tiered platforms)","residence of uncertain status","probably temple, hard to fit into any of the above categories",1
"room group","temple base (incl. platforms & multi-tiered platforms)","residence of uncertain status","temple",1
"room group","temple base (incl. platforms & multi-tiered platforms)",NA,"primary interpretation is the best assessment of a very ambiguous situation",3
"simple platform","apartment compound","platform of probable religious significance","intermediate status residence",2
"simple platform","apartment compound","platform of probable religious significance","primary interpretation is the best assessment of a very ambiguous situation",2
"simple platform","apartment compound","platform of probable religious significance","residence of uncertain status",4
"simple platform","apartment compound",NA,"intermediate status residence",2
"simple platform","no plausible alternative to the primary interpretation","\""civic\"" structure, but not a temple","temple platform",2
"simple platform","no plausible alternative to the primary interpretation","altar","no plausible alternative to the pirmary interpretation",2
"simple platform","no plausible alternative to the primary interpretation","intermediate status residence","no plausible alternative to the pirmary interpretation",1
"simple platform","no plausible alternative to the primary interpretation","other","no plausible alternative to the pirmary interpretation",14
"simple platform","no plausible alternative to the primary interpretation","platform of probable religious significance","no plausible alternative to the pirmary interpretation",366
"simple platform","no plausible alternative to the primary interpretation","platform of probable religious significance","pottery workshop",2
"simple platform","no plausible alternative to the primary interpretation","platform of probable religious significance","primary interpretation is the best assessment of a very ambiguous situation",43
"simple platform","no plausible alternative to the primary interpretation","platform of probable religious significance","residence of uncertain status",1
"simple platform","no plausible alternative to the primary interpretation","plaza","plaza",6
"simple platform","no plausible alternative to the primary interpretation","residence of uncertain status","no plausible alternative to the pirmary interpretation",1
"simple platform","no plausible alternative to the primary interpretation","temple platform","no plausible alternative to the pirmary interpretation",16
"simple platform","no plausible alternative to the primary interpretation","unoccupied, not clear if cultivated or not","no plausible alternative to the pirmary interpretation",1
"simple platform","no plausible alternative to the primary interpretation","unoccupied, not clear if cultivated or not","primary interpretation is the best assessment of a very ambiguous situation",1
"simple platform","no plausible alternative to the primary interpretation",NA,"primary interpretation is the best assessment of a very ambiguous situation",1
"simple platform","platform with other structures on it","platform of probable religious significance","no plausible alternative to the pirmary interpretation",11
"simple platform","platform with other structures on it","platform of probable religious significance","other",3
"simple platform","platform with other structures on it","residence of uncertain status","other",1
"simple platform","plaza","platform of probable religious significance","plaza",15
"simple platform","primary interpretation is the best assessment of a very ambiguous situation","momoztli (platform in plaza)","primary interpretation is the best assessment of a very ambiguous situation",3
"simple platform","primary interpretation is the best assessment of a very ambiguous situation","platform of probable religious significance","no plausible alternative to the pirmary interpretation",5
"simple platform","primary interpretation is the best assessment of a very ambiguous situation","platform of probable religious significance","primary interpretation is the best assessment of a very ambiguous situation",38
"simple platform","primary interpretation is the best assessment of a very ambiguous situation","plaza","primary interpretation is the best assessment of a very ambiguous situation",3
"simple platform","primary interpretation is the best assessment of a very ambiguous situation","residence of uncertain status","platform of probable religious significance",1
"simple platform","primary interpretation is the best assessment of a very ambiguous situation","temple platform","primary interpretation is the best assessment of a very ambiguous situation",2
"simple platform","primary interpretation is the best assessment of a very ambiguous situation",NA,"primary interpretation is the best assessment of a very ambiguous situation",1
"simple platform","room group","platform of probable religious significance","residence of uncertain status",3
"simple platform","room group",NA,"residence of uncertain status",1
"simple platform","simple platform","platform of probable religious significance","no plausible alternative to the pirmary interpretation",4
"simple platform","simple platform","platform of probable religious significance","other",3
"simple platform","temple base (incl. platforms & multi-tiered platforms)","platform of probable religious significance","no plausible alternative to the pirmary interpretation",2
"simple platform","temple base (incl. platforms & multi-tiered platforms)","platform of probable religious significance","temple platform",10
"temple base (incl. platforms & multi-tiered platforms)","apartment compound","temple platform","residence of uncertain status",4
"temple base (incl. platforms & multi-tiered platforms)","no plausible alternative to the primary interpretation","probably temple, hard to fit into any of the above categories","no plausible alternative to the pirmary interpretation",44
"temple base (incl. platforms & multi-tiered platforms)","no plausible alternative to the primary interpretation","temple","no plausible alternative to the pirmary interpretation",9
"temple base (incl. platforms & multi-tiered platforms)","no plausible alternative to the primary interpretation","temple platform","high status residence",2
"temple base (incl. platforms & multi-tiered platforms)","no plausible alternative to the primary interpretation","temple platform","intermediate status residence",2
"temple base (incl. platforms & multi-tiered platforms)","no plausible alternative to the primary interpretation","temple platform","no plausible alternative to the pirmary interpretation",408
"temple base (incl. platforms & multi-tiered platforms)","no plausible alternative to the primary interpretation","temple platform","primary interpretation is the best assessment of a very ambiguous situation",23
"temple base (incl. platforms & multi-tiered platforms)","no plausible alternative to the primary interpretation","temple platform","temple",1
"temple base (incl. platforms & multi-tiered platforms)","no plausible alternative to the primary interpretation","unoccupied, not clear if cultivated or not","no plausible alternative to the pirmary interpretation",1
"temple base (incl. platforms & multi-tiered platforms)","platform in plaza (momoztli)","temple platform","momoztli (platform in plaza)",3
"temple base (incl. platforms & multi-tiered platforms)","platform with other structures on it","temple platform","no plausible alternative to the pirmary interpretation",2
"temple base (incl. platforms & multi-tiered platforms)","platform with other structures on it","temple platform","platform of probable religious significance",5
"temple base (incl. platforms & multi-tiered platforms)","plaza","temple platform","plaza",4
"temple base (incl. platforms & multi-tiered platforms)","primary interpretation is the best assessment of a very ambiguous situation","other","primary interpretation is the best assessment of a very ambiguous situation",3
"temple base (incl. platforms & multi-tiered platforms)","primary interpretation is the best assessment of a very ambiguous situation","platform of probable religious significance","primary interpretation is the best assessment of a very ambiguous situation",3
"temple base (incl. platforms & multi-tiered platforms)","primary interpretation is the best assessment of a very ambiguous situation","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation",1
"temple base (incl. platforms & multi-tiered platforms)","primary interpretation is the best assessment of a very ambiguous situation","temple platform","no plausible alternative to the pirmary interpretation",5
"temple base (incl. platforms & multi-tiered platforms)","primary interpretation is the best assessment of a very ambiguous situation","temple platform","primary interpretation is the best assessment of a very ambiguous situation",37
"temple base (incl. platforms & multi-tiered platforms)","simple platform","temple platform","platform of probable religious significance",8
NA,"no plausible alternative to the primary interpretation","platform of probable religious significance","no plausible alternative to the pirmary interpretation",1
NA,"no plausible alternative to the primary interpretation","unoccupied, not clear if cultivated or not","no plausible alternative to the pirmary interpretation",1
NA,"no plausible alternative to the primary interpretation","unoccupied, not clear if cultivated or not","primary interpretation is the best assessment of a very ambiguous situation",1
NA,"no plausible alternative to the primary interpretation",NA,"primary interpretation is the best assessment of a very ambiguous situation",6
NA,"primary interpretation is the best assessment of a very ambiguous situation","cultivated field","primary interpretation is the best assessment of a very ambiguous situation",1
NA,"primary interpretation is the best assessment of a very ambiguous situation","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation",1
NA,"primary interpretation is the best assessment of a very ambiguous situation",NA,"primary interpretation is the best assessment of a very ambiguous situation",197
NA,"probably not occupied or utilized in this period",NA,"unoccupied, not clear if cultivated or not",6
