varID,df8_names,JOIN,NewNamesJoin
132,PSMOOTHR,PSMOOTHR,PSMOOTHR
133,PLUMBBOB,PLUMBBOB,PLUMBBOB
134,FIXTWALL,FIXTWALL,FIXTWALL
135,FIREGODS,FIREGODS,FIREGODS
136,MSCSTNSC,MSCSTNSC,MSCSTNSC
137,HAMMERS,HAMMERS,HAMMERS
138,SLINGSTN,SLINGSTN,SLINGSTN
139,SMTHSTN,SMTHSTN,SMTHSTN
140,WHETSTN,WHETSTN,WHETSTN
141,PALETTES,PALETTES,PALETTES
142,CELTS,CELTS,CELTS
143,RWKDLAJA,RWKDLAJA,RWKDLAJA
144,ANVILS,ANVILS,ANVILS
145,DRAINS,DRAINS,DRAINS_MODERN
146,DRAINCVR,DRAINCVR,DRAINCVR
147,OTHERGS,OTHERGS,OTHERGS
148,OBSITOTS,OBSITOTS,OBSITOTS
149,OBSIBLDS,OBSIBLDS,OBSIBLDS
150,OBSIWSTE,OBSIWSTE,OBSIWSTE
151,OBSISCRP,OBSISCRP,OBSISCRP
152,OBSIPNTS,OBSIPNTS,OBSIPNTS
153,OBSICORS,OBSICORS,OBSICORS
154,OBSIKNIV,OBSIKNIV,OBSIKNIV
155,OBSIECCE,OBSIECCE,OBSIECCE
156,OBSIMGSC,OBSIMGSC,OBSIMGSC
157,OBSIUFLK,OBSIUFLK,OBSIUFLK
158,OBSINODS,OBSINODS,OBSINODS
159,BSLTTOTS,BSLTTOTS,BSLTTOTS
160,BSLTTOOL,BSLTTOOL,BSLTTOOL
161,CHRTFRAG,CHRTFRAG,CHRTFRAG
162,QUARTZ,QUARTZ,QUARTZ
163,SLATETOT,SLATETOT,SLATETOT
164,SLATEPNT,SLATEPNT,SLATEPNT
165,ALABASTR,ALABASTR,ALABASTR
166,SERPENTN,SERPENTN,SERPENTN
167,JADE,JADE,JADE
168,WRKDBONE,WRKDBONE,WRKDBONE
169,SHELLTOT,SHELLTOT,SHELLTOT
170,SHELLWKD,SHELLWKD,SHELLWKD
171,FIGUTOTS,FIGUTOTS,FIGUTOTS
172,FIGHEADS,FIGHEADS,FIGHEADS
173,PPATFIGS,PPATFIGS,PPATFIGS
174,PATLFIGS,PATLFIGS,PATLFIGS
175,TZACFIGS,TZACFIGS,TZACFIGS
176,MICCFIGS,MICCFIGS,MICCFIGS
177,TLAMFIGS,TLAMFIGS,TLAMFIGS
178,XOLAFIGS,XOLAFIGS,XOLAFIGS
179,METEFIGS,METEFIGS,METEFIGS
180,TOLTFIGS,TOLTFIGS,TOLTFIGS
181,AZTEFIGS,AZTEFIGS,AZTEFIGS
182,PUPPFIGS,PUPPFIGS,PUPPFIGS
183,SPINWHRL,SPINWHRL,SPINWHRL
184,SEALSTMP,SEALSTMP,SEALSTMP
185,EARSPOOL,EARSPOOL,EARSPOOL
186,WHISTLES,WHISTLES,WHISTLES
187,FLUTES,FLUTES,FLUTES
188,CERANWK1,CERANWK1,CERANWK1
189,CERANWK2,CERANWK2,CERANWK2
190,CERANWK3,CERANWK3,CERANWK3
191,CERANYR,CERANYR,CERANYR
192,CERANQT,CERANQT,CERANQT
193,FLDCWKSH,FLDCWKSH,FLDCWKSH
194,FLDCABUN,FLDCABUN,FLDCABUN
195,CANDTOTS,CANDTOTS,CANDTOTS
196,COATCAND,COATCAND,COATCAND
197,ATOYCAND,ATOYCAND,ATOYCAND
198,EXOLCAND,EXOLCAND,EXOLCAND
199,LXOLCAND,LXOLCAND,LXOLCAND
200,METECAND,METECAND,METECAND
201,COMMCAND,COMMCAND,COMMCAND
202,BRN3PRNG,BRN3PRNG,BRN3PRNG
203,HANDCOVR,HANDCOVR,HANDCOVR
204,AREASITE,AREASITE,AREASITE
205,SHRDSTOT,SHRDSTOT,SHRDSTOT
206,OTHPCLAS,OTHPCLAS,OTHPCLAS
207,CUANALAN,CUANALAN,CUANALAN
208,TEZOYUCA,TEZOYUCA,TEZOYUCA
209,PATLACHI,PATLACHI,PATLACHI
210,TZACUALL,TZACUALL,TZACUALL
211,MICCAOTL,MICCAOTL,MICCAOTL
212,TLAMIMIL,TLAMIMIL,TLAMIMIL
213,XOLALPAN,XOLALPAN,XOLALPAN
214,METEPEC,METEPEC,METEPEC
215,OXTOTIPA,OXTOTIPA,OXTOTIPA
216,XOMETLA,XOMETLA,XOMETLA
217,MAZAPAN,MAZAPAN,MAZAPAN
218,AZTEC,AZTEC,AZTEC
219,CNSRTOTS,CNSRTOTS,CNSRTOTS
220,PPATCNSR,PPATCNSR,PPATCNSR
221,PATLCNSR,PATLCNSR,PATLCNSR
222,TZACCNSR,TZACCNSR,TZACCNSR
223,MICCCNSR,MICCCNSR,MICCCNSR
224,TLAMCNSR,TLAMCNSR,TLAMCNSR
225,XOLACNSR,XOLACNSR,XOLACNSR
226,METECNSR,METECNSR,METECNSR
227,OXTOCNSR,OXTOCNSR,OXTOCNSR
228,XOMECNSR,XOMECNSR,XOMECNSR
229,MAZACNSR,MAZACNSR,MAZACNSR
230,AZTECNSR,AZTECNSR,AZTECNSR
231,THNOTOTS,THNOTOTS,THNOTOTS
232,REGTHNO,REGTHNO,REGTHNO
233,CRSTHNO,CRSTHNO,CRSTHNO
234,SMOTOTS,SMOTOTS,SMOTOTS
235,TLAMSMO,TLAMSMO,TLAMSMO
236,XOLASMO,XOLASMO,XOLASMO
237,METESMO,METESMO,METESMO
238,OLLATOT,OLLATOT,OLLATOT
239,PATLOLLA,PATLOLLA,PATLOLLA
240,WDGROLLA,WDGROLLA,WDGROLLA
241,MICCOLLA,MICCOLLA,MICCOLLA
242,TLAMOLLA,TLAMOLLA,TLAMOLLA
243,XOLAOLLA,XOLAOLLA,XOLAOLLA
244,METEOLLA,METEOLLA,METEOLLA
245,COMLTOTS,COMLTOTS,COMLTOTS
246,PATLCOML,PATLCOML,PATLCOML
247,TZACCOML,TZACCOML,TZACCOML
248,MICCCOML,MICCCOML,MICCCOML
249,TLAMCOML,TLAMCOML,TLAMCOML
250,XOLACOML,XOLACOML,XOLACOML
251,METECOML,METECOML,METECOML
252,OXTOCOML,OXTOCOML,OXTOCOML
253,POXTCOML,POXTCOML,POXTCOML
254,NUBBTOTS,NUBBTOTS,NUBBTOTS
255,PATLNUBB,PATLNUBB,PATLNUBB
256,APTENUBB,APTENUBB,APETNUBB
257,INSTNUBB,INSTNUBB,INSTNUBB
258,FLSMNUBB,FLSMNUBB,FLSHNUBB
259,ATOYNUBB,ATOYNUBB,ATOYNUBB
260,XOLANUBB,XOLANUBB,XOLANUBB
261,METENUBB,METENUBB,METENUBB
262,STMPSHRD,STMPSHRD,STMPSHRD
263,PLRFSHRD,PLRFSHRD,PLRFSHRD
264,STCCSHRD,STCCSHRD,STCCSHRD
265,INCISHRD,INCISHRD,INCISHRD
266,FRNSHTOT,FRNSHTOT,FRNSHTOT
267,LOWMAYA,LOWMAYA,LOWMAYA
268,HIGHMAYA,HIGHMAYA,HIGHMAYA
269,HUASTEC,HUASTEC,HUASTEC
270,TAJIN,TAJIN,TAJIN
271,GULFCST,GULFCST,GULFCST
272,MONTEALB,MONTEALB,MONTEALB
273,OAXACA,OAXACA,OAXACA
274,OTHFRN,OTHFRN,OTHFRN
275,ADORNOS,ADORNOS,ADORNOS
276,MINIATUR,MINIATUR,MINIATUR
277,COPAS,COPAS,COPAS
278,MATTWARE,MATTWARE,MATTWARE
279,GRANTOTS,GRANTOTS,GRANTOTS
280,PMICGRAN,PMICGRAN,PMICGRAN
281,MICCGRAN,MICCGRAN,MICCGRAN
282,TLAMGRAN,TLAMGRAN,TLAMGRAN
283,XOLAGRAN,XOLAGRAN,XOLAGRAN
284,METEGRAN,METEGRAN,METEGRAN
285,CERADISK,CERADISK,CERADISK
286,SOBSIWK1,SOBSIWK1,SOBSIWK1
287,SOBSIWK2,SOBSIWK2,SOBSIWK2
288,KCERAWKS,KCERAWKS,KCERAWKS
289,BFIGCONC,BFIGCONC,BFIGCONC
290,AREASTRC,AREASTRC,AREASTRC
291,INSUBSTR,INSUBSTR,INSUBSTR
292,QUALBND,QUALBND,QUALBND
