"","DF8_VAR_ID","DF8_Variable","In_Structure","populated","In_Form","DF9_Table","DF9_Variable","DF9_Codes_Table","DF9_Comments","DF9_PROBLEM","DF10_Variable","DF10_Table","DF10_Removed","DF10_Aggregated","DF10_Renamed","DF10_New","DF10_Comments"
"209",209,"TZACUALL",TRUE,TRUE,TRUE,"cerPhTot","totTzac","-1","-1",FALSE,"totTzac","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"210",210,"MICCAOTL",TRUE,TRUE,TRUE,"cerPhTot","totMicc","-1","-1",FALSE,"totMicc","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"211",211,"TLAMIMIL",TRUE,TRUE,TRUE,"cerPhTot","totTlam","-1","-1",FALSE,"totTlam","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"212",212,"XOLALPAN",TRUE,TRUE,TRUE,"cerPhTot","totXola","-1","-1",FALSE,"totXola","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"213",213,"METEPEC",TRUE,TRUE,TRUE,"cerPhTot","totMete","-1","-1",FALSE,"totMete","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"214",214,"OXTOTIPA",TRUE,TRUE,TRUE,"cerPhTot","totOxto","-1","-1",FALSE,"Coyotlatelco","-1",FALSE,TRUE,FALSE,FALSE,"-1"
"215",215,"XOMETLA",TRUE,TRUE,TRUE,"cerPhTot","totXome","-1","-1",FALSE,"Coyotlatelco","-1",FALSE,TRUE,FALSE,FALSE,"-1"
"216",216,"MAZAPAN",TRUE,TRUE,TRUE,"cerPhTot","totMaza","-1","-1",FALSE,"Maza","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"217",217,"AZTEC",TRUE,TRUE,TRUE,"cerPhTot","totAzte","-1","-1",FALSE,"Azte","-1",FALSE,FALSE,TRUE,FALSE,"-1"
"218",218,"CNSRTOTS",TRUE,TRUE,TRUE,"cerVessel","censerTot","-1","-1",FALSE,"censerTot","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"219",219,"PPATCNSR",TRUE,TRUE,TRUE,"cerVessel","censerPPat","-1","-1",FALSE,"censerPPat","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"220",220,"PATLCNSR",TRUE,TRUE,TRUE,"cerVessel","censerPatl","-1","-1",FALSE,"censerPatl","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"221",221,"TZACCNSR",TRUE,TRUE,TRUE,"cerVessel","censerTzac","-1","-1",FALSE,"censerTzac","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"222",222,"MICCCNSR",TRUE,TRUE,TRUE,"cerVessel","censerMicc","-1","-1",FALSE,"censerMicc","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"223",223,"TLAMCNSR",TRUE,TRUE,TRUE,"cerVessel","censerTlam","-1","-1",FALSE,"censerTlam","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"224",224,"XOLACNSR",TRUE,TRUE,TRUE,"cerVessel","censerXola","-1","-1",FALSE,"censerXola","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"225",225,"METECNSR",TRUE,TRUE,TRUE,"cerVessel","censerMete","-1","-1",FALSE,"censerMete","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"226",226,"OXTOCNSR",TRUE,TRUE,TRUE,"cerVessel","censerOxto","-1","-1",FALSE,"censerLate","-1",FALSE,TRUE,FALSE,FALSE,"-1"
"227",227,"XOMECNSR",TRUE,TRUE,TRUE,"cerVessel","censerXome","-1","-1",FALSE,"censerLate","-1",FALSE,TRUE,FALSE,FALSE,"-1"
"228",228,"MAZACNSR",TRUE,TRUE,TRUE,"cerVessel","censerMaza","-1","-1",FALSE,"censerLate","-1",FALSE,TRUE,FALSE,FALSE,"-1"
"229",229,"AZTECNSR",TRUE,TRUE,TRUE,"cerVessel","censerAzte","-1","-1",FALSE,"censerLate","-1",FALSE,TRUE,FALSE,FALSE,"-1"
"230",230,"THNOTOTS",TRUE,TRUE,TRUE,"cerVessel","toTot","-1","-1",FALSE,"toTot","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"231",231,"REGTHNO",TRUE,TRUE,TRUE,"cerVessel","toRegular","-1","-1",FALSE,"toRegular","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"232",232,"CRSTHNO",TRUE,TRUE,TRUE,"cerVessel","toCoarse","-1","-1",FALSE,"toCoarse","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"233",233,"SMOTOTS",TRUE,TRUE,TRUE,"cerVessel","smoTot","-1","-1",FALSE,"smoTot","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"234",234,"TLAMSMO",TRUE,TRUE,TRUE,"cerVessel","smoTlam","-1","-1",FALSE,"smoTlam","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"235",235,"XOLASMO",TRUE,TRUE,TRUE,"cerVessel","smoXola","-1","-1",FALSE,"smoXola","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"236",236,"METESMO",TRUE,TRUE,TRUE,"cerVessel","smoMete","-1","-1",FALSE,"smoMete","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"237",237,"OLLATOT",TRUE,TRUE,TRUE,"cerVessel","ollaTot","-1","-1",FALSE,"ollaTot","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"238",238,"PATLOLLA",TRUE,TRUE,TRUE,"cerVessel","ollaPatl","-1","-1",FALSE,"ollaPatl","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"239",239,"WDGROLLA",TRUE,TRUE,TRUE,"cerVessel","ollaWedge","-1","-1",FALSE,"ollaWedge","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"240",240,"MICCOLLA",TRUE,TRUE,TRUE,"cerVessel","ollaMicc","-1","-1",FALSE,"ollaMicc","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"241",241,"TLAMOLLA",TRUE,TRUE,TRUE,"cerVessel","ollaTlam","-1","-1",FALSE,"ollaTlam","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"242",242,"XOLAOLLA",TRUE,TRUE,TRUE,"cerVessel","ollaXola","-1","-1",FALSE,"ollaXola","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"243",243,"METEOLLA",TRUE,TRUE,TRUE,"cerVessel","ollaMete","-1","-1",FALSE,"ollaMete","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"244",244,"COMLTOTS",TRUE,TRUE,TRUE,"cerVessel","comalTot","-1","-1",FALSE,"comalTot","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"245",245,"PATLCOML",TRUE,TRUE,TRUE,"cerVessel","comalPatl","-1","-1",FALSE,"comalPatl","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"246",246,"TZACCOML",TRUE,TRUE,TRUE,"cerVessel","comalTzac","-1","-1",FALSE,"comalTzac","-1",FALSE,FALSE,FALSE,FALSE,"-1"
"247",247,"MICCCOML",TRUE,TRUE,TRUE,"cerVessel","comalMicc","-1","-1",FALSE,"comalMicc","-1",FALSE,FALSE,FALSE,FALSE,"-1"
